county,adjacent_county
1,2
1,5
1,15
1,25
1,39
1,61
1,88
2,1
2,15
2,69
2,73
2,80
2,87
2,88
3,22
3,33
3,96
4,26
4,59
4,68
4,90
4,93
5,1
5,14
5,15
5,24
5,39
5,83
6,7
6,10
6,48
6,52
6,57
6,79
6,86
7,6
7,9
7,10
7,12
7,33
7,38
7,86
8,25
8,37
8,40
8,77
8,85
8,94
9,7
9,10
9,12
9,19
9,33
9,34
10,6
10,7
10,9
10,22
10,28
10,33
10,57
11,13
11,18
11,21
11,47
11,71
11,74
11,76
11,81
12,7
12,9
12,17
12,19
12,34
12,35
12,38
12,42
13,11
13,14
13,37
13,76
13,81
13,94
14,5
14,13
14,24
14,37
14,39
14,81
14,83
15,1
15,2
15,5
15,39
15,69
15,78
15,83
16,23
16,52
16,53
16,57
16,70
16,82
17,12
17,34
17,35
17,41
17,66
17,95
17,98
17,99
18,11
18,21
18,47
18,71
18,75
18,81
18,84
18,97
19,9
19,12
19,33
19,34
19,45
19,66
19,96
20,27
20,59
20,61
20,80
20,88
20,91
20,93
21,11
21,18
21,30
21,32
21,71
21,72
21,74
21,76
22,3
22,10
22,28
22,31
22,33
22,96
23,16
23,49
23,53
23,82
24,5
24,14
24,43
24,47
24,67
24,81
24,83
24,97
25,1
25,8
25,37
25,39
25,61
25,77
25,91
26,4
26,51
26,68
26,89
26,90
27,20
27,59
27,80
27,88
27,93
28,10
28,22
28,31
28,33
28,53
28,57
29,44
29,56
29,58
30,21
30,32
30,71
30,72
30,74
31,22
31,28
31,49
31,53
32,21
32,30
32,55
32,74
33,3
33,7
33,9
33,10
33,19
33,22
33,28
33,96
34,9
34,12
34,17
34,19
34,35
34,45
34,66
35,12
35,17
35,34
35,38
35,40
35,41
35,42
35,99
36,65
36,69
36,73
37,8
37,13
37,14
37,25
37,39
37,94
38,7
38,12
38,35
38,42
38,64
38,86
39,1
39,5
39,14
39,15
39,25
39,37
39,61
40,8
40,35
40,42
40,85
40,94
40,99
41,17
41,35
41,46
41,55
41,95
41,98
41,99
42,12
42,35
42,38
42,40
42,64
42,85
42,99
43,24
43,67
43,78
43,83
44,29
44,51
44,56
44,58
44,89
44,92
45,19
45,34
45,66
45,96
46,41
46,55
46,74
46,76
46,94
46,99
47,11
47,18
47,24
47,67
47,81
47,97
48,6
48,52
48,54
48,57
48,79
48,86
48,92
49,23
49,31
49,53
50,62
50,63
50,64
50,77
50,79
50,85
50,86
51,26
51,44
51,54
51,89
51,90
51,92
52,6
52,16
52,48
52,57
52,58
52,70
52,92
53,16
53,23
53,28
53,31
53,49
53,57
54,48
54,51
54,62
54,79
54,90
54,92
55,32
55,41
55,46
55,74
55,76
55,95
55,99
56,29
56,44
56,89
57,6
57,10
57,16
57,28
57,48
57,52
57,53
58,29
58,44
58,52
58,70
58,92
59,4
59,20
59,27
59,63
59,68
59,91
59,93
60,71
60,72
60,84
61,1
61,20
61,25
61,39
61,77
61,88
61,91
62,50
62,54
62,63
62,68
62,79
62,90
63,50
63,59
63,62
63,68
63,77
63,91
64,38
64,42
64,50
64,79
64,85
64,86
65,36
65,69
65,73
65,78
66,17
66,19
66,34
66,45
66,98
67,24
67,43
67,47
67,97
68,4
68,26
68,59
68,62
68,63
68,90
68,93
69,2
69,15
69,36
69,65
69,73
69,78
69,87
70,16
70,52
70,58
70,82
71,11
71,18
71,21
71,30
71,60
71,72
71,75
71,84
72,21
72,30
72,60
72,71
72,84
73,2
73,36
73,65
73,69
73,87
74,11
74,21
74,30
74,32
74,46
74,55
74,76
75,18
75,71
75,84
75,97
76,11
76,13
76,21
76,46
76,55
76,74
76,81
76,94
77,8
77,25
77,50
77,61
77,63
77,85
77,91
78,15
78,43
78,65
78,69
78,83
79,6
79,48
79,50
79,54
79,62
79,64
79,86
80,2
80,20
80,27
80,87
80,88
81,11
81,13
81,14
81,18
81,24
81,47
81,76
82,16
82,23
82,70
83,5
83,14
83,15
83,24
83,43
83,78
84,18
84,60
84,71
84,72
84,75
85,8
85,40
85,42
85,50
85,64
85,77
86,6
86,7
86,38
86,48
86,50
86,64
86,79
87,2
87,69
87,73
87,80
87,88
88,1
88,2
88,20
88,27
88,61
88,80
88,87
89,26
89,44
89,51
89,56
89,90
90,4
90,26
90,51
90,54
90,62
90,68
90,89
91,20
91,25
91,59
91,61
91,63
91,77
92,44
92,48
92,51
92,52
92,54
92,58
93,4
93,20
93,27
93,59
93,68
94,8
94,13
94,37
94,40
94,46
94,76
94,99
95,17
95,41
95,55
95,98
96,3
96,19
96,22
96,33
96,45
97,18
97,24
97,47
97,67
97,75
98,17
98,41
98,66
98,95
99,17
99,35
99,40
99,41
99,42
99,46
99,55
99,94
